id,project_id,event_type,event_date,description,source_id
20,linha-verde-investor-visas,delay,2024-01-01,No distinct Linha Verde branded product launched. Concept absorbed into JUI digital portal and visto de privilegiado framework,67
21,investment-portal-georeferenced,completion,2024-07-01,investinangola.ao launched with 84 investment opportunities across 9 sectors and 539 Made in Angola products,70
22,digital-infrastructure-pledge,construction,2024-06-01,Angosat-2 operational with 80%+ C-band capacity sold. 30000km fiber optic laid,74
23,digital-infrastructure-pledge,expansion,2026-07-01,Conecta Angola TVWS program launched using satellite and TV White Space technology. 366000+ people reached,76
24,vi-encontro-empresarial-pt-ao,expansion,2024-07-01,VII edition held July 2024 expanding format,85
25,vi-encontro-empresarial-pt-ao,expansion,2026-07-20,IX edition held with 500 participants and 6 European chambers. 5x growth from 2023,87
26,sonangol-sonils-filda2023,delay,2025-03-01,Sonangol privatization delayed. Chairman targets 30% IPO cautiously. Profits fell 11% in 2025,119
27,sonangol-sonils-filda2023,financing,2026-02-01,Sonangol seeking $4.8 billion loan from Chinese financial institutions per Reuters,120
28,anpg-oil-sector-grand-prize,financing,2025-09-01,Block 33/24 development agreement signed. New projects announced to sustain production,132
29,anpg-oil-sector-grand-prize,expansion,2026-04-01,$100 billion investment pipeline reported. Oil revenue rose to $7.16B in Q1 2026,133
30,huatong-angola-industry-awards,construction,2026-01-01,Aluminum production started in Barra do Dande ZEE. 1200 direct + 800 indirect jobs. First 1000 tons exported to Netherlands,130
31,huatong-angola-industry-awards,financing,2026-07-20,$900M port terminal investment signed. 25-year subconcession. Completion by 2029/2030,125
32,huatong-angola-industry-awards,expansion,2026-07-17,"Won 3 AIPEX Awards 2026: Manufacturing & Industrialization, Export Champion, Investor of the Year",54
33,portuguese-investment-zee-330m,delay,2026-07-01,Figure unchanged since 2023. Restated at FILDA 2026 by ZEE Chairman. No new aggregate published,97
34,brazil-returns-to-filda,expansion,2024-07-01,4 Brazilian companies via ApexBrasil at FILDA 2024. Expanded to Angola Startup Summit with SEBRAE,104
35,cip-cooperation-pt-ao,completion,2025-07-25,Declaration of Economic Cooperation signed during President Lourenco State Visit to Portugal,13
36,cip-cooperation-pt-ao,expansion,2025-07-25,AIPEX signed MoUs with AICEP Global Parques and Porto Business School. 4 priority axes defined,90
37,angola-startup-summit-2023,completion,2024-05-01,III edition held with 125+ startups. UNITEL sponsorship. Brazilian debut via SEBRAE,134
38,filda-2023-2-billion-business,delay,2024-07-01,Data correction: original source likely says 2 billion Kwanzas not EUR. Actual FILDA 2024: ~54B Kz,103
39,grain-production-ambition-2022,announcement,2022-07-16,Manuel Nunes Junior announced Angola's ambition to become largest grain producer in Africa at FILDA 2022 opening,17
40,sa-angola-investment-2022,announcement,2022-07-15,South Africa-Angola investment promotion seminar with dtic and Wesgro. 19 SA companies at FILDA. Only 5 SA projects worth $19M registered since 2018,18
41,portugal-30-companies-2022,announcement,2022-07-10,"30 Portuguese companies mobilized for FILDA 2022 including Petrotec, Quinta dos Jugais, Novabase, Primavera. 14 first-time participants",19
42,portugal-30-companies-2022,completion,2022-07-20,Portuguese delegation completed participation. Bilateral trade exceeded EUR 1 billion in 2021,19
43,huambo-investment-promotion-2022,announcement,2022-07-17,"Huambo province promoted investment in agriculture, industry, mining, tourism. Polo Industrial do Caala with 1000 hectares",20
44,angola-startup-summit-2022,announcement,2022-07-15,First Angola Startup Summit announced as parallel event to FILDA 2022. 70% fee reduction for startups,21
45,angola-startup-summit-2022,completion,2022-07-20,First edition completed. ISPTEC presented 8 projects including PROSIL,23
46,angola-startup-summit-2022,expansion,2023-07-22,Second edition held at FILDA 2023 with SIA from Huila winning BCI Challenge,7
47,prosil-isptec-2022,announcement,2022-07-20,ISPTEC PROSIL project highlighted at Startup Summit. Animal feed from fish waste,23
48,feito-em-angola-relaunch-2022,announcement,2022-07-16,Feito em Angola certification service restructured and relaunched at FILDA 2022 by Minister Mario Caetano Joao,24
49,feito-em-angola-relaunch-2022,completion,2022-07-20,Certification service available at FILDA 2022,24
50,zap-empresas-filda2022,announcement,2022-07-16,ZAP promoted ZAP Empresas corporate connectivity at FILDA 2022. ~10000 visitors to stand,25
51,esso-angola-filda2022,announcement,2022-07-16,ExxonMobil participated in FILDA 2022 with a stand representing ongoing operations,26
52,porto-lobito-leao-ouro-2022,announcement,2022-07-16,Empresa Portuaria do Lobito participated in FILDA 2022,27
53,porto-lobito-leao-ouro-2022,expansion,2022-07-20,Porto do Lobito won Leao de Ouro for best Transport and Logistics participation,27
54,sonangol-leao-ouro-2022,announcement,2022-07-16,Sonangol participated in FILDA 2022,28
55,sonangol-leao-ouro-2022,expansion,2022-07-20,Sonangol won best participation in Oil and Gas sector at FILDA 2022,28
56,pt-ao-bilateral-2024,announcement,2024-07-23,"12 bilateral instruments signed between Portugal and Angola at FILDA 2024 covering PPP, debt management, labour, fisheries, health, tourism, education",36
57,pt-ao-bilateral-2024,completion,2024-07-28,FILDA 2024 closed with 1771 participations and 54.175 billion Kz business volume,30
58,chicomba-water-dam,announcement,2024-07-23,EUR 65M financing for Chicomba water dam in Huila province announced. BAI Europa as agent bank,38
59,chicomba-water-dam,financing,2024-07-23,BAI Europa confirmed as agent bank for EUR 65M Chicomba water dam financing,38
60,pt-ao-credit-line-2-5b,announcement,2024-07-23,Portugal-Angola credit line increased from EUR 2B to EUR 2.5B during PM Montenegro visit,36
61,pt-ao-credit-line-2-5b,financing,2025-07-25,Credit line further increased to EUR 3.25B (25 July 2025),135
62,mou-aia-cip-2024,announcement,2024-07-23,MoU signed between AIA and CIP for industrial cooperation,36
63,mou-idii-ualgarve,announcement,2024-07-23,MoU signed between IDIIA and Universidade do Algarve for industrial innovation cooperation,36
64,sonangol-leao-ouro-2024,announcement,2024-07-23,Sonangol participated in FILDA 2024 with energy transition projects,45
65,sonangol-leao-ouro-2024,expansion,2024-07-28,Sonangol won Grande Premio Leao de Ouro at FILDA 2024,44
66,unitel-leao-ouro-2024,announcement,2024-07-23,Unitel participated in FILDA 2024 with digital transformation showcase,47
67,unitel-leao-ouro-2024,expansion,2024-07-28,Unitel won Leao de Ouro telecom category at FILDA 2024,46
68,pay4all-leao-ouro-2024,announcement,2024-07-23,Pay4all participated in FILDA 2024,48
69,pay4all-leao-ouro-2024,expansion,2024-07-28,Pay4all won Leao de Ouro digital economy category at FILDA 2024,48
70,iveco-tway-launch,announcement,2024-07-23,IVECO/Vecauto launched new T-Way heavy truck at FILDA 2024,49
71,iveco-tway-launch,completion,2024-07-28,T-Way heavy truck launch completed at FILDA 2024,49
72,ucall-ai-launch,announcement,2024-07-23,Ucall launched AI-powered chatbot and speech analytics at FILDA 2024,49
73,montenegro-company-visits,announcement,2024-07-23,"PM Montenegro visited Powergol, Refriango, Central Solar do Biopio, Porto do Lobito, Lobito Atlantic Railway",40
74,montenegro-company-visits,completion,2024-07-25,Montenegro company visits completed during official visit 23-25 July 2024,40
75,sonangol-leao-ouro-2025,announcement,2025-07-22,Sonangol participated in FILDA 2025 with 100% solar-powered stand,122
76,sonangol-leao-ouro-2025,expansion,2025-07-27,Sonangol won Grande Premio Leao de Ouro at FILDA 2025,122
77,etu-energias-leao-ouro-2025,announcement,2025-07-22,ETU Energias participated in FILDA 2025 celebrating 25 years,123
78,etu-energias-leao-ouro-2025,expansion,2025-07-27,ETU Energias won Leao de Ouro at FILDA 2025,123
79,pt-ao-credit-line-3-25b,announcement,2025-07-25,Portugal-Angola credit line increased from EUR 2.5B to EUR 3.25B (25 July 2025),135
80,banco-sol-mc-empresas-2025,announcement,2025-07-22,Banco Sol launched Cartao Multicaixa Empresas and QR Code payment solutions at FILDA 2025,
81,bda-financing-filda2025,announcement,2025-07-22,BDA presented new financing solutions at FILDA 2025,126
82,bfa-mashreq-partnership,announcement,2025-07-16,BFA announced strategic partnership with Mashreq Bank reinforcing USD correspondent banking capacity,124
83,bfa-mashreq-partnership,completion,2025-07-27,BFA-Mashreq partnership operational during FILDA 2025,124
84,aep-delegation-filda2025,announcement,2025-07-22,AEP organized Portuguese company delegation to FILDA 2025,127
85,aep-delegation-filda2025,completion,2025-07-27,AEP delegation completed participation at FILDA 2025,127
86,huatong-aipex-awards-2026,announcement,2026-07-21,Huatong Angola Industry participated in FILDA 2026 / AIPEX Awards,54
87,huatong-aipex-awards-2026,expansion,2026-07-17,"Huatong won 3 AIPEX Awards: Manufacturing and Industrialization, Export Champion, Investor of the Year",54
88,huatong-aipex-awards-2026,financing,2026-07-20,Huatong signed $900M protocol for Barra do Dande port terminal. 25-year concession. Completion 2029-2030,125
89,omataplo-aipex-2026,announcement,2026-07-21,Omataplo participated in FILDA 2026 AIPEX Awards,54
90,omataplo-aipex-2026,expansion,2026-07-17,Omataplo won AIPEX Green Investment award at FILDA 2026,54
91,lobito-atlantic-railway-aipex,announcement,2026-07-21,Lobito Atlantic Railway participated in FILDA 2026,54
92,lobito-atlantic-railway-aipex,expansion,2026-07-17,LAR won AIPEX Regional Development award at FILDA 2026,54
93,fabrimetal-aipex-2026,announcement,2026-07-21,Fabrimetal participated in FILDA 2026 AIPEX Awards,54
94,fabrimetal-aipex-2026,expansion,2026-07-17,Fabrimetal won AIPEX Job Creation award at FILDA 2026,54
95,africell-aipex-2026,announcement,2026-07-21,Africell participated in FILDA 2026 AIPEX Awards,195
96,africell-aipex-2026,expansion,2026-07-17,Africell won AIPEX Digital Economy award at FILDA 2026,195
97,cabinda-refinery-aipex-2026,announcement,2026-07-21,Cabinda Refinery / Imbono Gemcorp participated in FILDA 2026,54
98,cabinda-refinery-aipex-2026,expansion,2026-07-17,Cabinda Refinery won AIPEX Energy award at FILDA 2026,54
99,jardins-yoba-aipex-2026,announcement,2026-07-21,Jardins da Yoba participated in FILDA 2026 AIPEX Awards,54
100,jardins-yoba-aipex-2026,expansion,2026-07-17,Jardins da Yoba won AIPEX Agribusiness award at FILDA 2026,54
101,aep-delegation-filda2026,announcement,2026-07-21,AEP organized 20 Portuguese companies delegation to FILDA 2026,55
102,aep-delegation-filda2026,completion,2026-07-26,AEP delegation completed participation at FILDA 2026,55
103,chicomba-water-dam,financing,2024-01-01,"Financing authorized by Presidential decree. EUR 67.2M syndicated loan from BAI Europa and BCP, covered by Portuguese export credit agency",128
104,chicomba-water-dam,groundbreaking,2026-06-13,"Construction launched. 36-month duration. Dam on river Cuvunji, 10.1 hm3 capacity, irrigates 2500 hectares phase 1",129
105,huatong-angola-industry-awards,expansion,2026-04-10,"First 1,000 tons exported to the Netherlands",131
106,quilemba-solar-park,announcement,2024-05-17,"AIPEX-signed investment contract (USD 36.8M, 50 jobs, solar PV park, Huila)",136
107,safcomex-cooking-oil,announcement,2024-05-17,"AIPEX-signed investment contract (USD 25M, 140 jobs, soya/cooking-oil/bran factory, Bengo)",136
108,baia-fish-processing,announcement,2024-05-17,"AIPEX-signed investment contract (USD 17.5M, 165 jobs, fish catching/processing, Benguela)",136
109,hospital-serum-factory,announcement,2024-05-17,"AIPEX-signed investment contract (USD 15M, 503 jobs, hospital serum factory, Luanda)",136
110,ponto-mais-furniture,announcement,2024-05-17,"AIPEX-signed investment contract (USD 10.3M, 77 jobs, furniture factory, Luanda)",136
111,quilemba-solar-park,construction,2025-05-21,"Construction started; 35 MWp, Angola largest private solar PV plant; 150+ jobs",137
112,baia-fish-processing,completion,2026-06-08,Inaugurated 8 Jun 2026; 200 t/day; BDA+BPC USD 18M financing,138
113,cabinda-refinery-build,financing,2022-03-01,Phase 1 financing: Gemcorp equity + Africa Finance Corporation USD 150M + Afreximbank USD 100M (total USD 473M),139
114,cabinda-refinery-build,construction,2022-03-01,Phase 1 site preparation and civil works began Q1 2022,140
115,cabinda-refinery-build,completion,2025-09-01,"Phase 1 (30,000 bpd) inaugurated Sep 2025 by President Lourenco",140
116,reclima-water-security,financing,2022-03-30,World Bank USD 300M (IBRD) + AFD USD 150M approved; climate-resilience/water-security,141
117,bita-water-supply,financing,2019-07-16,World Bank USD 500M guarantee approved; mobilizes commercial financing for Luanda Bita water supply,142
118,bita-water-supply,construction,2022-09-27,"Effective Sep 2022; construction progressing on Kwanza catchment, treatment, transmission mains",142
119,pdac-commercial-agriculture,financing,2018-05-29,World Bank USD 130M + AFD USD 100M approved; commercial agriculture development,150
120,pdac-commercial-agriculture,expansion,2024-01-12,"395 business plans, 159 disbursed, 51 credit guarantees, 7000+ farmers; USD 34M partially cancelled on infrastructure",151
121,mosap3-agricultural-transformation,financing,2022-06-16,World Bank approved US$300 million Smallholder Agricultural Transformation Project (PROTAF/MOSAP3); agricultural transformation,152
122,mosap3-agricultural-transformation,expansion,2025-06-01,"16,000 smallholders supported with inputs for 2025-2026 campaign; 13 provinces",145
123,eseep-energy-transmission,financing,2019-12-01,"AfDB USD 530M approved; energy sector efficiency/expansion, 343 km Huambo-Lubango transmission line",146
125,asrp-agriculture-reform,financing,2023-12-13,"AfDB USD 105.19M loan approved; agriculture sector reform, smallholder mechanization/irrigation in 4 provinces",147
126,eseep-energy-transmission,groundbreaking,2024-06-07,First stone laid in Lubango for the 400 kV Huambo-Lubango line (343 km) + AfDB-financed substation works (USD 220M); target supply 1M+ citizens in Huila and Namibe,148
127,eseep-energy-transmission,construction,2025-07-18,Gove-Matala 400 kV line + substations ~80% complete; completion expected Oct 2025; will supply Huila and Namibe,149
128,huila-cunene-interconnection,financing,2025-11-21,World Bank board approved IBRD financing for the Huila-Cunene Interconnection (Southern Transmission Network Expansion / RETRADE); recorded principal US$334M,153
129,esiap-electricity-access,financing,2021-02-18,World Bank board approved US$250M (with US$167M AFD) Electricity Sector Improvement and Access Project (ESIAP),154
130,heprr-health-emergency-preparedness,financing,2025-11-21,"World Bank board approved US$250M IBRD for the Angola Health Emergency Preparedness, Response and Resilience Project (HEPRR)",153
131,angola-digital-acceleration,financing,2024-06-27,World Bank board approved US$300M Angola Digital Acceleration Project (PADA) under the IDEA multi-phase program,155
132,secondary-cities-support,financing,2024-06-20,World Bank board approved US$300M Angola Secondary Cities Support Program (Program-for-Results),156
133,economic-diversification-job-creation,financing,2023-05-31,World Bank board approved US$300M Accelerating Economic Diversification and Job Creation Project,157
134,luanda-science-technology-park,groundbreaking,2023-03,First stone laid for the Luanda Science and Technology Park; ~30-month construction period,158
135,africell-angola-network,completion,2022-04-07,"Commercial launch of 4G network; US$150M+ invested, 6M+ subscriber capacity, 1,000+ jobs (95% Angolan)",160
136,fabrimetal-steel-zee,construction,2025-05-09,"New ZEE Viana steel unit announced; capacity 15k->25k t/mo (+66%), launch Jul 2025, production Sept 2025, 800+ workers",161
137,jardins-yoba-seed-production,financing,2020-07-24,"US.49M invested since 2016 in seed production (maize, massango, massambala, potato); +US.6M expansion planned",162
138,lobito-atlantic-railway,completion,2023-07-04,"30-yr concession signed; US55M Angola + up to US00M DRC; 35 locomotives + 1,555 wagons; 1,344 km Lobito-Luau corridor",163
139,omatapalo-solar-luanda,financing,2026-04-29,Enko Impact Credit first close US$100M (fund size) financing PV panels for Luanda solar (704 MW official / 724 MW Empower Africa - discrepancy flagged),164
140,porto-lobito-terminal,announcement,2024-07-10,"AIPEX contract of intent: 20-yr operation of Multipurpose Container & General Cargo Terminal; US88,311,731; 95 jobs",165
141,esplendor-florestal,announcement,2024-07-10,"AIPEX contract of intent: wood plantation/exploitation/transformation; US7,182,000; 200 jobs; Benguela + Huambo",165
142,casais-angola-engenharia,announcement,2024-07-10,"AIPEX contract of intent: civil construction and public works (Portugal); US5,349,166; 1,600 jobs (1,440 national); Luanda + Lobito",165
143,koll-mob-furniture,announcement,2024-07-10,AIPEX contract of intent: furniture factory; US0M; 510 jobs (500 national); Luanda,165
144,fuanda-internacional-silicon,announcement,2024-07-10,AIPEX contract of intent: silicon production (Chinese origin); US0M; 449+ jobs; Bengo,165
145,jardins-yoba-seed-production,expansion,2024-05-23,"Expansion into rice production: 'Melhor Arroz' program with UFLA/Epamig/Embrapa; 100 ha planted from Oct 2024, harvest Jan 2025; 2024 declared Year of Rice in Angola",166
146,aiaan-airport-concession,completion,2025-12-11,Concession granted to consortium led by Corporación América Airports (CAAP) with Mota-Engil Engenharia e Construção África; 25-year term renewable +15; 93.25/100 score,167
147,corredor-namibe-concession,announcement,2025-12-05,International public tender launched for the Namibe Corridor concession (CFM 855 km + Port of Namibe); 30-year term extendable to 50; proposals due 4 May 2026,168
148,porto-luanda-multipurpose-terminal,completion,2024-04-23,20-year concession signed with the Luanda Port Authority (extendable +10); AD Ports Group 81% terminal JV + 90% logistics JV with Unicargas and Multiparques; US51M committed 2024-2026,169
149,cabinda-soyo-terminals-concession,completion,2026-04-27,20-year concession signed with Sogester for the Cabinda maritime and Soyo river passenger/cargo terminals; tender launched Mar 2025 (6 bidders),170
150,caio-deep-water-terminal,announcement,2026-04-09,International public tender launched for the Caio deep-water terminal and free zone concession; first phase of construction in final stage,171
151,eravacdep-agricultural-value-chains,announcement,2026-04-07,"Loan agreement for the Eastern Province Agricultural Value Chains Development Project (ERAVACDEP) authorized for signing; US$210.4M AfDB loan (afdb.org reports US$211.4M package incl. US$20M Rome Process + US$1M TSF grant - discrepancy flagged); 6 eastern provinces; 7,500 direct jobs; 1.2M beneficiaries",172
152,amufert-soyo-fertiliser-complex,financing,2025-11-12,"Afreximbank approves US$1.3B loan for the US$2B Amufert ammonia and urea complex in Soyo (Sonangol P&P Natural Gas + OPAIA Group JV); construction underway, operations expected 2027",173
153,eib-hpv-vaccination-campaign,completion,2025-10-27,National HPV vaccination campaign against cervical cancer launched in Namibe; targets 2M+ girls aged 9-12; EIB Global EUR 50M financing + EUR 4.5M EU grant (Global Gateway),174
154,global-fund-gc7-hiv-tb-malaria,completion,2024-05-14,"US$126M Global Fund GC7 grant signed for HIV/AIDS, TB and malaria response; UNDP principal recipient; implementation Jul 2024-Jun 2027; provinces Benguela, Cuanza Sul, Bie",175
155,crew-angola-climate-resilience,financing,2025-09-05,"First GCF disbursement (US$1.59M) for CREW Angola (SAP044); US$9.6M GCF grant approved 24 Oct 2024, FAA effective 30 Jul 2025; Cunene province; 300,000 beneficiaries",176
156,ayep-youth-employment,announcement,2024-07-29,"AfDB Board approves US$79.08M loan (64% of US$124.68M total) for the Angola Youth Employment Project (AYEP); 8 provinces; 95,000+ young people to be trained; implementation 2025-2029",177
157,coastal-towns-inclusive-sanitation,financing,2023-10-03,"AfDB US$75M + AGTF US$49.4M loan agreements signed in Luanda (total US$124.4M) for the Coastal Towns Inclusive Sanitation Project; towns Benguela, Baia Farta, Catumbela, Lobito serving 1.4M people; sewage reticulation, wastewater/faecal sludge treatment plants",178
158,jica-southern-region-transmission,financing,2025-08-21,JICA ODA loan agreement signed in Yokohama (JPY 39.105B maximum) for the Project for Transmission System Reinforcement in Southern Region; 220kV Nombungo-Namibe via East Lubango; co-financed with AfDB under ACFA; completion scheduled Mar 2030,179
159,afc-national-road-bridges,financing,2025-07-24,AFC closes and disburses EUR 75M of an EUR 85M sovereign facility for 186 priority bridges and national road network upgrades (National Development Plan 2023-2027); ~900 direct jobs expected,180
160,wsidp2-water-sector-institutional,financing,2019-04-08,"WSIDP2 multi-donor financing confirmed effective (WB US$350M; co-financed by AFD US$150M and EIB US$100M); water sector institutional development across 7 provincial cities (Uige, Malanje, Ndalatando, Huambo, Kuito, Lubango, Luena)",181
161,sfd-catumbela-industrial-phase1,financing,2023-11-09,Saudi Fund for Development US$100M loan (Phase 1) signed at the Saudi-Arab-African Economic Conference in Riyadh for the Catumbela Industrial Development Project (Benguela); part of a 14-agreement US$580M+ package; verangola.net reported US$110M - discrepancy flagged,182
162,kwenda2-social-protection-human-capital,financing,2024-09-27,World Bank Board approved Kwenda 2 (P181495): US$400M IBRD loan + US$120M Government counterpart = US$520M total operation cost,183
163,health-system-performance-strengthening,financing,2018-03-21,"World Bank approved US$110M IBRD loan (P160948), 30-yr maturity 7-yr grace, to increase utilization and quality of health care services in target provinces and municipalities",185
164,srep-smallholder-resilience,financing,2020-07-13,Financing agreement signed in Luanda: IFAD EUR 26.2M + BADEA US$40M + AFD US$42M + Government of Angola US$10M (total US$150M family-farming resilience programme),186
165,afap2-artisanal-fisheries,financing,2024-09-18,IFAD Executive Board approved AFAP-2 (EB 2024/142/R.5/Rev.1): IFAD US$42.78M + US$15M loans + EU US$10M grant + Government US$9.22M = US$90M total,188
166,us-exim-solar-minigrids-water,financing,2024-07-18,"EXIM Board approved a US$1.6B direct loan for 65 solar mini-grids with storage powering water supply across Huila, Namibe, Cunene and Cuando Cubango; developer Sun Africa with ING Capital and Omatapalo; ~3,100 US jobs; under CTEP and PGI",190
167,eib-clean-coastal-towns,financing,2024-12-11,"EIB Board approved a EUR 120M loan (total cost EUR 256M) for climate-resilient sanitation across nine coastal towns (6 EIB-financed, 3 AfDB-co-financed); Ministry of Energy and Water; Global Europe NDICI guarantee",191
168,afdb-urban-water-supply-sanitation,financing,2015-04-01,"AfDB Board approved a US$123.77M loan (total US$154.71M, P-AO-E00-005) for urban water supply and sanitation across seven provinces; 60-month implementation",192
169,wb-girls-empowerment-learning,financing,2021-04-29,"World Bank approved US$250M Investment Project Financing (P168699) to empower Angolan girls and reduce learning poverty; 900,000 youth scholarships, 3,000 classrooms; Ministry of Education",194
